Entity A Type,Entity A,Entity B Type,Entity B,Connection,Source(s)
Person,AJIT PAI,Organization,FEDERAL COMMUNICATIONS COMMISSION,Chairman and former deputy general counsel,https://www.fcc.gov/about/leadership/ajit-pai
Person,AJIT PAI,Organization,JENNER & BLOCK,Former partner,https://www.fcc.gov/about/leadership/ajit-pai
Organization,ALABAMA POLICY INSTITUTE,Person,CLIFF SIMS,Former board member,https://www.documentcloud.org/documents/3534339-Sims-Cliff.html
Organization,ALABAMA POLICY INSTITUTE,Person,KELLYANNE CONWAY,Consultant,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
Person,ALAN GARTEN,Organization,"THE TRUMP ORGANIZATION, INC.",General counsel,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
Person,ALAN HAMMER,Organization,KUSHNER COMPANIES,Former chairman,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
Person,ALAN JOHN ROGERS,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,ALAN JOHN ROGERS,Organization,SLC TURNBERRY LIMITED,Former director,https://beta.companieshouse.gov.uk/company/SC177810/officers
Person,ALBERT ROSS SR.,Organization,NEW GRACE MISSIONARY BAPTIST CHURCH,Pastor,http://www.omarosa.com/#
Person,ALEX SHNAIDER,Organization,MIDLAND RESOURCES HOLDING INC.,Co-founder and chairman,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=20412545
Person,ALEX SHNAIDER,Organization,TALON INTERNATIONAL DEVELOPMENT,Former chairman,http://www.dolcemag.com/successstories/toronto-billionare-alex-shnaider/12275
Person,ALEXANDER ACOSTA,Organization,AMERICAN BAR ASSOCIATION COMMISSION ON HISPANIC LEGAL RIGHTS AND RESPONSIBILITIES,Chairman of the Commission on Hispanic Legal Rights and Responsibilities,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98119BCF69AC9DE7852580DE002C800A/$FILE/Acosta,%20Rene%20Alexander%20final278.pdf"
Person,ALEXANDER ACOSTA,Organization,BREAKTHROUGH MIAMI,Director,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98119BCF69AC9DE7852580DE002C800A/$FILE/Acosta,%20Rene%20Alexander%20final278.pdf"
Person,ALEXANDER ACOSTA,Organization,FLORIDA INTERNATIONAL UNIVERSITY,Dean of the College of Law,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98119BCF69AC9DE7852580DE002C800A/$FILE/Acosta,%20Rene%20Alexander%20final278.pdf"
Person,ALEXANDER ACOSTA,Organization,GULLIVER SCHOOLS,Trustee; former chair of the board of trustees,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98119BCF69AC9DE7852580DE002C800A/$FILE/Acosta,%20Rene%20Alexander%20final278.pdf"
Person,ALEXANDER ACOSTA,Organization,U.S. CENTURY BANK,Chair of the board of directors,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98119BCF69AC9DE7852580DE002C800A/$FILE/Acosta,%20Rene%20Alexander%20final278.pdf"
Person,ALEXANDER MASHKEVICH,Organization,BAYROCK GROUP,"""Strategic partner,"" per the Financial Times",https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
Person,ALEXANDER MASHKEVICH,Organization,EURASIAN NATURAL RESOURCES CORPORATION,"Founder, major stockholder",https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
Person,ALEXANDER MASHKEVICH,Organization,EURASIAN RESOURCES GROUP,Chairman of the Board,https://www.eurasianresources.lu/en/pages/corporate-governance/board-of-directors
Person,ALEXANDER MCMILLAN,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,ALEXANDER NIX,Person,BRAD PARSCALE,"Pascale says he hired Nix's company, Cambridge Analytica, to work on the campaign",https://www.washingtonpost.com/politics/trumps-plan-for-a-comeback-includes-building-a-psychographic-profile-of-every-voter/2016/10/27/9064a706-9611-11e6-9b7c-57290af48a49_story.html?utm_term=.ec091285ddc0
Person,ALEXANDER NIX,Organization,CAMBRIDGE ANALYTICA,CEO,http://www.spectator.co.uk/2016/12/the-british-data-crunchers-who-say-they-helped-donald-trump-to-win/
Person,ALEXANDER NIX,Organization,SCL GROUP,Director,http://adage.com/article/campaign-trail/cambridge-analytica-toast/305439/
Person,ALEXANDER TIMOFEEV,Organization,RECOLTE,Chairman and CEO,http://www.marketwired.com/press-release/drinks-americas-expands-trump-super-premium-vodka-to-russia-nasdaq-dkam-789034.htm
Person,ALLEN WEISSELBERG,Organization,DT CONNECT II MEMBER CORP.,"Secretary, director",http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=CurrentList&searchNameOrder=DTCONNECTIIMEMBER%20F140000032740&aggregateId=forp-f14000003274-87250419-caa8-48a7-9acd-ec7977b874df&searchTerm=DT%20Connectc&listNameOrder=DTCONNECTII%20M140000055460
Person,ALLEN WEISSELBERG,Person,JACK WEISSELBERG,Parent/child,https://www.nytimes.com/2016/05/24/business/dealbook/donald-trump-relationship-bankers.html?_r=0
Person,ALLEN WEISSELBERG,Organization,"MAR-A-LAGO CLUB, INC","Vice president, treasurer, secretary, director",http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=Initial&searchNameOrder=MARALAGOCLUB%20F950000022280&aggregateId=forp-f95000002228-3284b385-24b0-4085-80aa-1ad81532e674&searchTerm=Mar-A-Lago%20Club%2C%20Inc&listNameOrder=MARALAGOCLUB%20F950000022280
Person,ALLEN WEISSELBERG,Organization,"TAG AIR, INC.",Governor,https://www.sos.wa.gov/corps/search_detail.aspx?ubi=602514155
Person,ALLEN WEISSELBERG,Organization,THE DONALD J. TRUMP FOUNDATION,Treasurer,http://blogs.wsj.com/cfo/2016/11/05/donald-trumps-loyal-numbers-man/
Person,ALLEN WEISSELBERG,Organization,THE DONALD J. TRUMP REVOCABLE TRUST,Trustee,https://assets.documentcloud.org/documents/3442581/Trump-International-Hotel-Liquor-License-Filings.pdf
Person,ALLEN WEISSELBERG,Organization,"THE TRUMP ORGANIZATION, INC.",CFO,http://blogs.wsj.com/cfo/2016/11/05/donald-trumps-loyal-numbers-man/
Person,ALLEN WEISSELBERG,Organization,TNGC CHARLOTTE MANAGER CORP.,Treasurer and vice president,https://www.sosnc.gov/Search/profcorp/9978796
Person,ALLEN WEISSELBERG,Organization,TRUMP INTERNATIONAL GOLF CLUB LC,"Vice president, treasurer, secretary",http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=PreviousList&searchNameOrder=TRUMPINTERNATIONALGOLFCLUB%20L970000004800&aggregateId=flal-l97000000480-f13e25e1-9674-4da0-ad6c-3de085ccc4db&searchTerm=Trump%20International%20Golf%20Club%20LC&listNameOrder=TRUMPI1007%20L050000089960
Person,ALLEN WEISSELBERG,Organization,TRUMP INTERNATIONAL GOLF CLUB SCOTLAND LIMITED,Director,https://beta.companieshouse.gov.uk/company/SC292100/officers
Person,ALLEN WEISSELBERG,Organization,TW VENTURE I MANAGING MEMBER CORP.,"Vice president, treasurer, secretary, director",http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=CurrentList&searchNameOrder=TWVENTUREIMANAGINGMEMBER%20F130000054770&aggregateId=forp-f13000005477-a6947491-59d6-46cb-8bf3-f748c7091f9c&searchTerm=tw%20venture&listNameOrder=TWVENTUREI%20M130000079590
Organization,ALLIANCEBERNSTEIN LP,Organization,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
Organization,ALTEGRIS,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,ALTICOR,Organization,AMWAY,Subsidiary,http://www.alticor.com/FAQs.aspx
Organization,AMBOY BANK,Organization,TRUMP NATIONAL GOLF CLUB COLTS NECK LLC,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,AMERICA RISING LLC,Person,ANNIE DONALDSON,Provided legal services for,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
Organization,AMERICA RISING LLC,Person,RAJ SHAH,Former managing director,https://www.documentcloud.org/documents/3534337-Shah-Raj.html
Organization,AMERICAN INTERNATIONAL GROUP INC.,Organization,AIG GLOBAL REAL ESTATE INVESTMENT CORP.,Subsidiary,http://www.aig.com/aig-global-real-estate
Organization,AMERICAN INTERNATIONAL GROUP INC.,Organization,VALIC,Subsidiary,https://www.valic.com/about-valic
Organization,AMERICAN LEGACY CENTER,Person,VINCE HALEY,Former board member,https://www.documentcloud.org/documents/3534112-Haley-Vincent.html
Organization,AMERICANS FOR PROSPERITY,Person,ANDELIZ CASTILLO,Former senior vice president,https://www.documentcloud.org/documents/3534453-Castillo-Andeliz.html
Organization,AMERICANS FOR PROSPERITY,Person,KELLYANNE CONWAY,Consultant,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
Organization,AMG FUNDS,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,AMPAL-AMERICAN ISRAEL CORP.,Person,SHLOMO MEICHOR,Former CFO,https://www.bloomberg.com/news/articles/2017-04-26/kushners-are-partners-with-one-of-israel-s-wealthiest-families
Person,ANAND PATEL,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ANAR MAMMADOV,Organization,AZERBAIJAN AMERICAN ALLIANCE,Founder,https://www.meydan.tv/en/site/politics/13787/
Person,ANAR MAMMADOV,Organization,BANK OF AZERBAIJAN,Former owner,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Person,ANAR MAMMADOV,Organization,GARANT HOLDINGS,Chairman and CEO,https://www.meydan.tv/en/site/politics/13787/
Person,ANAR MAMMADOV,Organization,TRUMP ORGANIZATION LLC,Business partner,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html | http://www.motherjones.com/politics/2015/07/donald-trump-azerbaijan-anar-mammadov
Person,ANAR MAMMADOV,Person,ZIYA MAMMADOV,Parent/child,https://www.meydan.tv/en/site/politics/13787/
Person,ANAR MAMMADOV,Organization,ZQAN,"""Head,"" per The New Yorker",http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Organization,ANBANG INSURANCE GROUP,Organization,KUSHNER COMPANIES,"""Anbang would become one of the equity partners in the [666 Fifth Avenue] redevelopment if an agreement is finalized,"" per New York Times",http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
Person,ANDREA SCHLOSSBERG,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ANDREW BREMBERG,Organization,CROSSROADS GPS,Consultant,https://www.documentcloud.org/documents/3533906-Bremberg-Andrew.html
Person,ANDREW BREMBERG,Organization,FREEDOM PARTNERS CHAMBER OF COMMERCE,Consultant,https://www.documentcloud.org/documents/3533906-Bremberg-Andrew.html
Person,ANDREW BREMBERG,Organization,HEALTH AND HUMAN SERVICES,Former employee,https://www.linkedin.com/in/andrew-bremberg-7170938
Person,ANDREW BREMBERG,Person,MIKE FERGUSON,"Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat",https://www.statnews.com/2016/11/15/trump-influencers-health-care/
Person,ANDREW BREMBERG,Person,MITCH MCCONNELL,Policy advisor and counsel on nominations,https://www.linkedin.com/in/andrew-bremberg-7170938
Person,ANDREW BREMBERG,Organization,REPUBLICAN NATIONAL COMMITTEE,Policy Director,https://www.gop.com/rnc-announces-platform-committee-leadership/
Person,ANDREW BREMBERG,Organization,"RIGHT POLICY, LLC",Former manager,https://www.documentcloud.org/documents/3533906-Bremberg-Andrew.html
Person,ANDREW BREMBERG,Person,SCOTT WALKER,Policy director for Walker's campaign,http://www.modernhealthcare.com/article/20161111/NEWS/161119989?utm_source=modernhealthcare&utm_medium=email&utm_content=20161111-NEWS-161119989&utm_campaign=mh-alert
Person,ANDREW BREMBERG,Organization,THE MITRE CORPORATION,Former employee,https://www.linkedin.com/in/andrew-bremberg-7170938
Person,ANDREW BROWN,Organization,NEWSMAX MEDIA,COO,http://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=EntityName&directionType=Initial&searchNameOrder=NEWSMAXMEDIA%20F980000047712&aggregateId=forp-f98000004771-dbf7e3bb-65d9-4b3a-b6f5-432f0bb2e3ce&searchTerm=Newsmax%20Media&listNameOrder=NEWSMAXMEDIA%20F980000047712 | https://www.washingtonpost.com/news/the-fix/wp/2015/08/11/in-donald-trump-conservative-outlet-sees-highly-profitable-fundraising-opportunity/?utm_term=.2ef23f4fcda9
Person,ANDREW GRAVES,Organization,THE ERIC TRUMP FOUNDATION,Vice chairman and vice president,http://990s.foundationcenter.org/990_pdf_archive/208/208669454/208669454_201412_990.pdf?_ga=1.174914721.26745521.1462996275
Person,ANDREW GREENBAUM,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ANDREW JOBLON,Organization,THE ERIC TRUMP FOUNDATION,Vice chairman and treasurer,http://990s.foundationcenter.org/990_pdf_archive/208/208669454/208669454_201412_990.pdf?_ga=1.174914721.26745521.1462996275
Person,ANDREW WEISS,Organization,"THE TRUMP ORGANIZATION, INC.",Executive vice president for development and construction,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
Person,ANDY PUZDER,Organization,APOLLO GLOBAL MANAGEMENT,Stayed on as CEO after the company took CKE private,http://www.ckr.com/about_management.html#puzder
Person,ANDY PUZDER,Organization,"CKE RESTAURANTS, INC.",Longtime CEO,http://www.ckr.com/about_management.html#puzder
Person,ANDY PUZDER,Organization,FIDELITY,Former executive vice president / general counsel,http://www.ckr.com/about_management.html#puzder
Person,ANDY PUZDER,Organization,LAWYERS FOR LIFE,"""Puzder has long been active in Lawyers for Life,"" per Riverfront Times",http://www.riverfronttimes.com/newsblog/2016/12/08/andrew-puzder-trump-pick-for-labor-department-was-accused-of-abusing-wife?showFullText=true#
Person,ANDY PUZDER,Organization,LEWIS BRISBOIS BISGAARD & SMITH LLP,Former partner,http://articles.latimes.com/keyword/lewis-d-amato-brisbois-bisgaard/featured/2
Person,ANDY PUZDER,Organization,ROARK CAPITAL GROUP,Stayed on as CEO after the company bought CKE,https://web.archive.org/web/20150330055122/http://www.latimes.com/business/la-fi-mo-carls-jr-cke-cinnabon-roark-20131119-story.html
Person,ANDY PUZDER,Organization,STRADLING YOCCA CARLSON & RAUTH,Former partner,http://franchise.org/sites/default/files/ek-pdfs/html_page/Andy-Puzder_4.pdf
Person,ANDY PUZDER,Organization,THE AMERICAN ENTERPRISE INSTITUTE,Former co-chair of National Council,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5AFE195E4D4A6B78852580C3002C78E4/$FILE/Puzder,%20Andrew%20F.%20%20final278.pdf"
Person,ANDY PUZDER,Organization,THE INTERNATIONAL FRANCHISE ASSOCIATION,Former director,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5AFE195E4D4A6B78852580C3002C78E4/$FILE/Puzder,%20Andrew%20F.%20%20final278.pdf"
Person,ANDY PUZDER,Person,WILLIAM P. FOLEY,"Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career",http://www.insidesources.com/meet-the-fast-food-ceo-trump-picked-as-labor-secretary/
Person,ANDY WIGMORE,Organization,LEAVE.EU,Communications director,https://www.theguardian.com/politics/2017/feb/26/us-billionaire-mercer-helped-back-brexit
Organization,ANGEL OAK CAPITAL ADVISORS,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Person,ANGELA CHAO,Organization,FOREMOST GROUP,Deputy chairwoman,https://www.propublica.org/article/familys-shipping-company-could-pose-problems-for-trumps-transportation-pick
Person,ANITA THIGPEN PERRY,Organization,TEXAS ASSOCIATION AGAINST SEXUAL ASSAULT,Drew salary,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A0D2E9654E18FF6F852580A5004D3F2F/$FILE/Perry,%20James%20%20Richard%20%20final278.pdf"
Person,ANNA MARIA LEDERMANN,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ANNE-MARIE DONOGHUE,Organization,TRUMP ORGANIZATION LLC,Trump Hotels Asia sales director,http://www.newsweek.com/2016/12/23/donald-trump-foreign-business-deals-jeopardize-us-531140.html
Person,ANNIE DONALDSON,Organization,JONES DAY,Former attorney,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Person,ANNIE VELTRI,Organization,TRUMP MODEL MANAGEMENT LLC,Owner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,ANTHONY SCARAMUCCI,Person,KIRILL DMITRIEV,Met at Davos,https://www.bloomberg.com/politics/articles/2017-01-17/in-davos-trump-aide-talks-deals-with-sanctioned-kremlin-fund
Person,ANTHONY SCARAMUCCI,Organization,"SKYBRIDGE CAPITAL, LLC",Founder,https://www.bloomberg.com/politics/articles/2017-01-17/in-davos-trump-aide-talks-deals-with-sanctioned-kremlin-fund
Organization,ARIZONA HOUSE OF REPRESENTATIVES,Person,STEPHANIE GRISHAM,Press secretary,https://www.documentcloud.org/documents/3534109-Grisham-Stephanie.html
Person,ARLENE LEVINE,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ARRON BANKS,Organization,LEAVE.EU,Founder,http://www.politico.eu/article/robert-mercer-us-billionaire-who-helped-trump-campaign-also-helped-leave-eu-brexit-donald-trump-nigel-farage/
Person,ARTHUR LEVINE,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,ASHER ABEHSERA,Organization,LIVWRK,Owner and CEO,https://www.linkedin.com/in/asher-abehsera-80330378
Person,ASHER ABEHSERA,Organization,TWO TREES MANAGEMENT,General Manager,https://www.linkedin.com/in/asher-abehsera-80330378
Person,ASHLEY MARQUIS,Organization,THE GLOVER PARK GROUP,Former vice president,https://www.documentcloud.org/documents/3534134-Marquis-Ashley.html
Person,ASHLEY THOMPSON SIDMAN,Organization,THE ERIC TRUMP FOUNDATION,Director,http://990s.foundationcenter.org/990_pdf_archive/208/208669454/208669454_201412_990.pdf?_ga=1.174914721.26745521.1462996275
Organization,ASSETMARK,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Person,ATUL CHORDIA,Organization,DT MARKS PUNE LLC,"Developer in India, pictured with Trump soon after election",http://www.nytimes.com/2016/11/21/us/politics/donald-trump-india-business.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=b-lede-package-region&region=top-news&WT.nav=top-news
Person,AUDREY SCHWARTZ,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Organization,AUGUST ERNST,Organization,H. PIXEL INTERNATIONAL,Worked together to make a version of Trump Vodka for the Israeli market,http://www.jpost.com/Not-Just-News/Podcast/Exclusive-Some-Trump-Vodka-popular-as-kosher-for-Passover-spirit-may-not-be-kosher-450568
Person,AVRAM LEBOR,Person,JARED KUSHNER,Kushner hired him for his real estate company,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
Organization,AXA,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Person,AYDIN DOGAN,Organization,DOGAN GROUP,Owner,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Organization,AZARPASSILLO,Organization,IRANIAN REVOLUTIONARY GUARD CORPS,"Azarpassillo is ""an Iranian construction giant that is controlled by the Guard,"" per The New Yorker",http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Organization,BAGHLAN GROUP,Organization,BAKU XXI CENTURY,Baghlan Group is a stakeholder in Baku XXI Century,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Organization,BAGHLAN GROUP,Organization,BANK OF AZERBAIJAN,Former owner,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
Organization,BAIN & COMPANY,Organization,"THAYER AEROSPACE CONSOLIDATED, INC.",Investor,https://web.archive.org/web/20140516023111/http://www.bizjournals.com/wichita/stories/1998/12/14/story3.html
Organization,BANK HAPOALIM,Organization,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
Organization,BANK OF AMERICA,Organization,MERRILL LYNCH CREDIT CORPORATION,Subsidiary,http://www.merrillhomeloans.com/mlhl/pages/home.aspx
Organization,BANK OF CHINA,Organization,"1293 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
Organization,BANNON & CO.,Organization,CASTLE ROCK ENTERTAINMENT,Negotiated sale,https://qz.com/841601/steve-bannon-made-his-money-from-seinfeld-reruns/
Person,BARBARA KROIZ,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,BARBAROS MURATOGL,Organization,DOGAN GROUP,Company liaison to Ankara,http://www.newsweek.com/2016/12/23/donald-trump-foreign-business-deals-jeopardize-us-531140.html
Person,BARRY BENNETT,Organization,AVENUE STRATEGIES,Founder,https://www.bloomberg.com/news/articles/2017-01-19/trump-s-k-street-office-is-open-for-business
Organization,BAYROCK GROUP,Organization,FL GROUP,Bayrock received $50 million in financing from FL in 2007,https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
Organization,BAYROCK GROUP,Organization,SWISS DEVELOPMENT GROUP,"Bayrock was ""one of the backers of the redevelopment of the 101-year-old Hotel du Parc on the shores of Lake Geneva, owned by Swiss Development Group,"" per the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
Organization,BAYROCK/SAPIR ORGANIZATION LLC,Organization,BAYROCK GROUP,Co-owner,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
Organization,BAYROCK/SAPIR ORGANIZATION LLC,Organization,SAPIR ORGANIZATION,Co-owner,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
Organization,BEDFORD HILLS CORP.,Organization,SEVEN SPRINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,BELEN JESUIT PREPARATORY SCHOOL,Person,CARLOS DIAZ-ROSILLO,Former assistant summer camp director,https://www.documentcloud.org/documents/3534022-Diaz-Rosillo-Carlos.html
Person,BEN CARSON,Organization,ACADEMY OF ACHIEVEMENT,Board member,http://pfds.opensecrets.org/N00036973_2015_Pres.pdf
Person,BEN CARSON,Organization,ALPHA OMEGA ALPHA HONOR MEDICAL SOCIETY,Member,https://alphaomegaalpha.org/search.php
Person,BEN CARSON,Organization,AMERICAN ACADEMY OF ACHIEVEMENT,Member,http://pfds.opensecrets.org/N00036973_2015_Pres.pdf
Person,BEN CARSON,Organization,"AMERICAN BUSINESS COLLABORATIVE, LLC",President and CEO,http://pfds.opensecrets.org/N00036973_2015_Pres.pdf
