Organization A,Organization B,Connection,Source(s)
"DELAWARE MANAGEMENT HOLDINGS, INC.",TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
DEUTSCHE BANK,"1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
DEUTSCHE BANK,401 NORTH WABASH VENTURE LLC,Term loan and mortgage,https://www.documentcloud.org/documents/3233891-TIHT-Chicago.html
DEUTSCHE BANK,DJT HOLDINGS LLC,Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
DEUTSCHE BANK,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
DEUTSCHE BANK,TITAN ATLAS MANUFACTURING,Loaned money,http://www.postandcourier.com/timeline-trump-may-profit-on-son-s-failure/article_8b4e2248-e898-5d72-8c47-1f3e477117b8.html
DEUTSCHE BANK,TRUMP NATIONAL DORAL,Mortgages,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DEVELOPMENT BANK OF JAPAN,SANEI INTERNATIONAL,DBJ is largest shareholder of SI,https://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
DEVELOPMENT MEMBER INC.,BRIAR HALL OPERATIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT ENTREPRENEUR MANAGING MEMBER LLC,DJT UNIVERSITY MANAGING MEMBER LLC,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT ENTREPRENEUR MANAGING MEMBER LLC,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT ENTREPRENEUR MEMBER LLC,DJT UNIVERSITY MEMBER LLC,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT ENTREPRENEUR MEMBER LLC,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,4 SHADOW TREE LANE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,809 NORTH CANON LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,DT CONNECT II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,LFB ACQUISITION LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,OPO HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,PINE HILL DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,SEVEN SPRINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,THC VENTURE I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TIHT CHICAGO MEMBER ACQUISITION LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TNGC JUPITER MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP CHICAGO MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP CHICAGO MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP LAS VEGAS MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP LAS VEGAS MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP MARKS ASIA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL DORAL,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB - CHARLOTTE,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB - HUDSON VALLEY,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB - JUPITER,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB - WESTCHESTER,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP OLD POST OFFICE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP SCOTSBOROUGH SQUARE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP VINEYARD ESTATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP VIRGINIA LOT 5 LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TRUMP WINE MARKS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TURNBERRY SCOTLAND LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TW VENTURE I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,TW VENTURE II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS LLC,WHITE COURSE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS MANAGING MEMBER LLC,DJT HOLDINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DJT HOLDINGS MANAGING MEMBER LLC,TRUMP OLD POST OFFICE MEMBER CORP.,Ownership,https://assets.documentcloud.org/documents/3442581/Trump-International-Hotel-Liquor-License-Filings.pdf
DJT OPERATIONS II LLC,"TAG AIR, INC.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DOUBLELINE FUNDS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
DRINKS AMERICAS,ILD B.V.,Distilled Trump Vodka,http://www.marketwired.com/press-release/drinks-americas-expands-trump-super-premium-vodka-to-russia-nasdaq-dkam-789034.htm
DRINKS AMERICAS,RECOLTE,Russian distributor of Trump Vodka,http://www.marketwired.com/press-release/drinks-americas-expands-trump-super-premium-vodka-to-russia-nasdaq-dkam-789034.htm
DSN LICENSING LLC,TRUMP MARKS NETWORK LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DSN LICENSING MEMBER CORP.,DSN LICENSING LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DSN LICENSING MEMBER CORP.,TRUMP MARKS NETWORK MEMBER INC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT APP WARRANT HOLDING MANAGING MEMBER CORP.,DT APP WARRANT HOLDING LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT BALI GOLF MANAGER MEMBER CORP.,DT BALI GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT BALI HOTEL MANAGER MEMBER CORP.,DT BALI HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT BALI TECHNICAL SERVICES MANAGER MEMBER CORP.,DT BALI TECHNICAL SERVICES MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT CONNECT II MEMBER CORP.,DT CONNECT II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT CONNECT MANAGING MEMBER CORP.,DT CONNECT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT DUBAI GOLF MANAGER MEMBER CORP.,DT DUBAI GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT DUBAI II GOLF MANAGER MEMBER CORP.,DT DUBAI II GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT HOME MARKS INTERNATIONAL MEMBER CORP.,DT HOME MARKS INTERNATIONAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT INDIA VENTURE LLC,DT INDIA VENTURE MANAGING MEMBER CORP.,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT JEDDAH TECHNICAL SERVICES ADVISOR MEMBER CORP.,DT JEDDAH TECHNICAL SERVICES ADVISOR LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT JEDDAH TECHNICAL SERVICES MANAGER MEMBER CORP.,DT JEDDAH TECHNICAL SERVICES MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT LIDO GOLF MANAGER MEMBER CORP.,DT LIDO GOLF MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT LIDO HOTEL MANAGER MEMBER CORP.,DT LIDO HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT LIDO TECHNICAL SERVICES MANAGER MEMBER CORP.,DT LIDO TECHNICAL SERVICES MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS BAKU MANAGING MEMBER CORP.,DT MARKS BAKU LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS BALI MEMBER CORP.,DT MARKS BALI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS DUBAI II MEMBER CORP.,DT MARKS DUBAI II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS DUBAI MEMBER CORP.,DT MARKS DUBAI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS GURGAON MANAGING MEMBER CORP.,DT MARKS GURGAON LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS LIDO MEMBER CORP.,DT MARKS LIDO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS PRODUCTS INTERNATIONAL MEMBER CORP.,DT MARKS PRODUCTS INTERNATIONAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS PUNE II MANAGING MEMBER CORP.,DT MARKS PUNE II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS PUNE MANAGING MEMBER CORP.,DT MARKS PUNE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS QATAR MEMBER CORP.,DT MARKS QATAR LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS RIO LLC,MRP GROUP,"Licenses ""Trump"" name for Trump Towers Rio",http://www.politico.com/story/2016/10/trump-towers-rio-brazil-criminal-probe-230484
DT MARKS RIO MEMBER CORP.,DT MARKS RIO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS VANCOUVER MANAGER CORP.,DT MARKS VANCOUVER LP,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT MARKS WORLI MEMBER CORP.,DT MARKS WORLI LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT TOWER GURGAON MANAGING MEMBER CORP.,DT TOWER GURGAON LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT TOWER I MEMBER CORP.,DT TOWER I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DT TOWER KOLKATA MANAGING MEMBER CORP.,DT TOWER KOLKATA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DTTM OPERATIONS LLC,THC VENTURE III LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DTTM OPERATIONS MANAGING MEMBER CORP.,DTTM OPERATIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
DUKE UNIVERSITY,THRIVE CAPITAL,Investor,http://www.forbes.com/sites/stevenbertoni/2016/07/18/new-york-vc-thrive-captial-raises-700-million-for-fifth-fund/#6f6296ff27d4
EATON VANCE,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
EDWARD D. JONES & CO.,THE BRIDGE BUILDER FUNDS,Ownership,https://www.edwardjones.com/investments-services/wealth-management/advisory-solutions/bridge-builder-mutual-funds.html
EID VENTURE II MEMBER CORP.,EID VENTURE II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ETSY,KUSHNER PROPERTIES,Tenant,https://commercialobserver.com/2014/05/etsy-dumbo-lease/
EURASIAN RESOURCES GROUP,EURASIAN NATURAL RESOURCES CORPORATION,Successor company,https://www.ft.com/content/0132c21e-7800-11e5-a95a-27d368e1ddf7
EXCEL VENTURE I CORP.,EXCEL VENTURE I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
EXXON MOBIL CORPORATION,ROSNEFT,Signed strategic cooperation agreement,https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71 | https://rosneft.com/press/releases/item/114473/
FIDELITY INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
FIFTY-SEVEN MANAGEMENT CORP.,FIFTY-SEVENTH STREET ASSOCIATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"FIRST MEMBER, INC.",TRUMP PALACE/PARC LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
FLIGHTS INC.,"TRUMP FLIGHTS, INC.",NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
FLYNN INTEL GROUP,INOVO BV,Lobbied for,http://disclosures.house.gov/ld/ldxmlrelease/2016/4T/300842311.xml
FORTE CAPITAL ADVISORS,"USTC HOLDINGS, LLC",Ownership,http://www.businesswire.com/news/home/20101217005249/en/Xe-Services-LLC-Acquired-USTC-Holdings-LLC
"GALBREATH COLUMBUS CIRCLE DEVELOPMENT ASSOCIATES, LP",ONE CENTRAL PARK WEST ASSOCIATES,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
GE ASSET MANAGEMENT,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
GEPT DELMONICO LLC,TRUMP PARK AVENUE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
GOLDMAN SACHS,"1292 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
GOLDMAN SACHS,CADRE,Investor,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
GOLDMAN SACHS,INTERNET GAMING ENTERTAINMENT,Investor,https://www.wired.com/2008/11/ff-ige/
GOLDMAN SACHS,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
GOLF PRODUCTIONS MEMBER CORP.,GOLF PRODUCTIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
GOLF RECREATION SCOTLAND LIMITED,DT CONNECT EUROPE LIMITED,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
